USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0 167880  2532 ?        Ss   12:06   0:02 systemd
root           2  0.0  0.0      0     0 ?        S    12:06   0:00 kthreadd
root           3  0.0  0.0      0     0 ?        I<   12:06   0:00 rcu_gp
root           4  0.0  0.0      0     0 ?        I<   12:06   0:00 rcu_par_gp
root           6  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/0:0H-events_highpri
root           9  0.0  0.0      0     0 ?        I<   12:06   0:00 mm_percpu_wq
root          10  0.0  0.0      0     0 ?        S    12:06   0:00 rcu_tasks_rude_
root          11  0.0  0.0      0     0 ?        S    12:06   0:00 rcu_tasks_trace
root          12  0.0  0.0      0     0 ?        S    12:06   0:00 ksoftirqd/0
root          13  0.1  0.0      0     0 ?        I    12:06   0:12 rcu_sched
root          14  0.0  0.0      0     0 ?        S    12:06   0:00 migration/0
root          15  0.0  0.0      0     0 ?        S    12:06   0:00 idle_inject/0
root          16  0.0  0.0      0     0 ?        S    12:06   0:00 cpuhp/0
root          17  0.0  0.0      0     0 ?        S    12:06   0:00 cpuhp/1
root          18  0.0  0.0      0     0 ?        S    12:06   0:00 idle_inject/1
root          19  0.0  0.0      0     0 ?        S    12:06   0:00 migration/1
root          20  0.0  0.0      0     0 ?        S    12:06   0:00 ksoftirqd/1
root          22  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/1:0H-events_highpri
root          23  0.0  0.0      0     0 ?        S    12:06   0:00 cpuhp/2
root          24  0.0  0.0      0     0 ?        S    12:06   0:00 idle_inject/2
root          25  0.0  0.0      0     0 ?        S    12:06   0:00 migration/2
root          26  0.0  0.0      0     0 ?        S    12:06   0:00 ksoftirqd/2
root          28  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/2:0H-events_highpri
root          29  0.0  0.0      0     0 ?        S    12:06   0:00 cpuhp/3
root          30  0.0  0.0      0     0 ?        S    12:06   0:00 idle_inject/3
root          31  0.0  0.0      0     0 ?        S    12:06   0:00 migration/3
root          32  0.0  0.0      0     0 ?        S    12:06   0:00 ksoftirqd/3
root          34  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/3:0H-events_highpri
root          35  0.0  0.0      0     0 ?        S    12:06   0:00 cpuhp/4
root          36  0.0  0.0      0     0 ?        S    12:06   0:00 idle_inject/4
root          37  0.0  0.0      0     0 ?        S    12:06   0:00 migration/4
root          38  0.0  0.0      0     0 ?        S    12:06   0:00 ksoftirqd/4
root          40  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/4:0H-events_highpri
root          41  0.0  0.0      0     0 ?        S    12:06   0:00 cpuhp/5
root          42  0.0  0.0      0     0 ?        S    12:06   0:00 idle_inject/5
root          43  0.0  0.0      0     0 ?        S    12:06   0:00 migration/5
root          44  0.0  0.0      0     0 ?        S    12:06   0:00 ksoftirqd/5
root          46  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/5:0H-events_highpri
root          47  0.0  0.0      0     0 ?        S    12:06   0:00 cpuhp/6
root          48  0.0  0.0      0     0 ?        S    12:06   0:00 idle_inject/6
root          49  0.0  0.0      0     0 ?        S    12:06   0:00 migration/6
root          50  0.0  0.0      0     0 ?        S    12:06   0:00 ksoftirqd/6
root          52  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/6:0H-events_highpri
root          53  0.0  0.0      0     0 ?        S    12:06   0:00 cpuhp/7
root          54  0.0  0.0      0     0 ?        S    12:06   0:00 idle_inject/7
root          55  0.0  0.0      0     0 ?        S    12:06   0:00 migration/7
root          56  0.0  0.0      0     0 ?        S    12:06   0:00 ksoftirqd/7
root          58  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/7:0H-kblockd
root          59  0.0  0.0      0     0 ?        S    12:06   0:00 kdevtmpfs
root          60  0.0  0.0      0     0 ?        I<   12:06   0:00 netns
root          61  0.0  0.0      0     0 ?        I<   12:06   0:00 inet_frag_wq
root          62  0.0  0.0      0     0 ?        S    12:06   0:00 kauditd
root          63  0.0  0.0      0     0 ?        S    12:06   0:00 khungtaskd
root          64  0.0  0.0      0     0 ?        S    12:06   0:00 oom_reaper
root          65  0.0  0.0      0     0 ?        I<   12:06   0:00 writeback
root          66  0.1  0.0      0     0 ?        S    12:06   0:09 kcompactd0
root          67  0.0  0.0      0     0 ?        SN   12:06   0:00 ksmd
root          68  0.0  0.0      0     0 ?        SN   12:06   0:00 khugepaged
root         116  0.0  0.0      0     0 ?        I<   12:06   0:00 kintegrityd
root         117  0.0  0.0      0     0 ?        I<   12:06   0:00 kblockd
root         118  0.0  0.0      0     0 ?        I<   12:06   0:00 blkcg_punt_bio
root         119  0.0  0.0      0     0 ?        I<   12:06   0:00 tpm_dev_wq
root         120  0.0  0.0      0     0 ?        I<   12:06   0:00 ata_sff
root         121  0.0  0.0      0     0 ?        I<   12:06   0:00 md
root         122  0.0  0.0      0     0 ?        I<   12:06   0:00 edac-poller
root         123  0.0  0.0      0     0 ?        I<   12:06   0:00 devfreq_wq
root         124  0.0  0.0      0     0 ?        S    12:06   0:00 watchdogd
root         126  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/0:1H-kblockd
root         127  0.0  0.0      0     0 ?        S    12:06   0:00 irq/25-AMD-Vi
root         129  0.2  0.0      0     0 ?        S    12:06   0:26 kswapd0
root         130  0.0  0.0      0     0 ?        S    12:06   0:00 ecryptfs-kthrea
root         133  0.0  0.0      0     0 ?        I<   12:06   0:00 kthrotld
root         134  0.0  0.0      0     0 ?        S    12:06   0:00 irq/26-aerdrv
root         135  0.0  0.0      0     0 ?        S    12:06   0:00 irq/26-pciehp
root         136  0.0  0.0      0     0 ?        S    12:06   0:00 irq/27-aerdrv
root         137  0.0  0.0      0     0 ?        S    12:06   0:00 irq/29-aerdrv
root         142  0.0  0.0      0     0 ?        I<   12:06   0:00 acpi_thermal_pm
root         144  0.0  0.0      0     0 ?        I<   12:06   0:00 vfio-irqfd-clea
root         145  0.0  0.0      0     0 ?        I<   12:06   0:00 mld
root         146  0.0  0.0      0     0 ?        I<   12:06   0:00 ipv6_addrconf
root         150  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/6:1H-kblockd
root         156  0.0  0.0      0     0 ?        I<   12:06   0:00 kstrp
root         159  0.0  0.0      0     0 ?        I<   12:06   0:00 zswap-shrink
root         160  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/u33:0-hci0
root         168  0.0  0.0      0     0 ?        I<   12:06   0:00 charger_manager
root         204  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/3:1H-kblockd
root         211  0.0  0.0      0     0 ?        I<   12:06   0:00 nvme-wq
root         212  0.0  0.0      0     0 ?        I<   12:06   0:00 nvme-reset-wq
root         213  0.0  0.0      0     0 ?        I<   12:06   0:00 nvme-delete-wq
root         219  0.0  0.0      0     0 ?        S    12:06   0:00 irq/39-ELAN1301
root         226  0.0  0.0      0     0 ?        S    12:06   0:00 scsi_eh_0
root         227  0.0  0.0      0     0 ?        I<   12:06   0:00 scsi_tmf_0
root         246  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/7:1H-kblockd
root         248  0.0  0.0      0     0 ?        S    12:06   0:01 jbd2/nvme0n1p5-
root         249  0.0  0.0      0     0 ?        I<   12:06   0:00 ext4-rsv-conver
root         265  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/2:1H-kblockd
root         295  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/5:1H-kblockd
root         297  0.0  0.1  51908  8064 ?        S<s  12:06   0:03 systemd-journal
root         299  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/4:1H-kblockd
root         311  0.0  0.0      0     0 ?        I<   12:06   0:00 kworker/1:1H-kblockd
